iter	Passed	Remaining
835	2777	544
836	2780	541
837	2783	538
838	2786	534
839	2790	531
840	2793	528
841	2797	524
842	2800	521
843	2804	518
844	2806	514
845	2810	511
846	2814	508
847	2817	504
848	2820	501
849	2823	498
850	2826	494
851	2829	491
852	2832	488
853	2835	484
854	2838	481
855	2841	477
856	2844	474
857	2846	471
858	2849	467
859	2852	464
860	2855	461
861	2858	457
862	2861	454
863	2864	450
864	2868	447
865	2871	444
866	2873	440
867	2877	437
868	2880	434
869	2883	430
870	2886	427
871	2889	424
872	2892	420
873	2895	417
874	2899	414
875	2902	410
876	2905	407
877	2908	404
878	2911	400
879	2914	397
880	2918	394
881	2921	390
882	2924	387
883	2927	384
884	2930	380
885	2933	377
886	2936	374
887	2939	370
888	2943	367
889	2946	364
890	2949	360
891	2952	357
892	2954	354
893	2958	350
894	2961	347
895	2963	344
896	2967	340
897	2969	337
898	2972	333
899	2975	330
900	2978	327
901	2981	323
902	2984	320
903	2987	317
904	2990	313
905	2993	310
906	2996	307
907	2999	303
908	3002	300
909	3005	297
910	3008	293
911	3011	290
912	3014	287
913	3018	283
914	3021	280
915	3026	277
916	3030	274
917	3035	271
918	3040	267
919	3045	264
920	3050	261
921	3056	258
922	3061	255
923	3065	252
924	3070	248
925	3076	245
926	3080	242
927	3085	239
928	3089	236
929	3094	232
930	3101	229
931	3106	226
932	3111	223
933	3116	220
934	3122	217
935	3127	213
936	3133	210
937	3137	207
938	3142	204
939	3148	200
940	3152	197
941	3158	194
942	3162	191
943	3168	187
944	3172	184
945	3177	181
946	3181	178
947	3186	174
948	3192	171
949	3196	168
950	3202	165
951	3207	161
952	3211	158
953	3216	155
954	3220	151
955	3225	148
956	3230	145
957	3234	141
958	3255	139
959	3277	136
960	3287	133
961	3293	130
962	3298	126
963	3303	123
964	3308	119
965	3312	116
966	3317	113
967	3321	109
968	3326	106
969	3331	103
970	3336	99
971	3340	96
972	3345	92
973	3350	89
974	3355	86
975	3360	82
976	3364	79
977	3368	75
978	3373	72
979	3377	68
980	3382	65
981	3387	62
982	3392	58
983	3396	55
984	3399	51
985	3402	48
986	3405	44
987	3408	41
988	3411	37
989	3414	34
990	3417	31
991	3420	27
992	3424	24
993	3427	20
994	3430	17
995	3433	13
996	3436	10
997	3439	6
998	3442	3
999	3445	0
